CBHA,CBHB,LBHA,LBHB,SBHA,SBHB,ULHA,ULHB,LLHA,LLHB,THA,THB,TOT
7018.055,1109.008,17300.32,11493.46,18144.023,31764.155,0,0,0,0,0,0,86829.021
6981.7501,8882.2578,15849.47,13582.3,38465.7,31955.1,9.45028,635.7722,3838.988,488.8539,2179.062,9279.07,132147.7743
6438.18,5710.707,17699.73,29050.2,36679.57,43381.79,1714.941,640.163,7632.548,6271.259,17544.77,2657.146,175421.004
4763.76,7038.727,10697.73,9014.89,30892.51,21217.092,0,0,1249.994,4388.034,0,1349.425,90612.162
16499.5519,10967.45,16338.88,22145.63,51426,42969.72,0,0,0,0,0,0,160347.2319
3515.926,5070.91,7945.858,6103.29,23166.74,31102.335,0,0,0,0,0,0,76905.059
8951.5736,10994.08238,12013.54,9007.69,14959.1782,13816.4561,0,130.9915,6285.0794,2870.254,292.2641,405.942,79727.05128
488.413,805.798,530.997,1146.342,0,0,0,0,0,0,0,0,2971.55
2866.058,7222.9231,16082.03,11491.38,1363.892,228.306,0,0,0,0,0,0,39254.5891
11414.7317,7710.41,11421.67,21359.34,8531.69,13267.68,0,0,0,0,0,0,73705.5217
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
