CBU,CBC,CBL,LBU,LBC,LBL,SBU,SBC,SBL,ULU,ULC,ULL,LLU,LLC,LLL,TU,TC,TL,TOT
4440.118,3450.552,227.0699,7218.28,16077,5479.452,7712.164,25604.139,16575.9799,0,0,0,0,0,0,0,0,0,86784.7548
4354.3685,7397.3967,4107.0381,18630.85,8186.18,2609.673,24988.5,31838.55,13575.14,0,566.6022,78.7896,0,3828.971,493.244,1319.991,7626.16,2489.194,132090.6481
4061.615,858.027,7222.36,14432.66,26994.74,5303.64,19326.968,46964.491,13761.9,776.229,997.878,578.499,0,3613.351,10245.415,2774.899,11524.56,5922.66,175359.892
3525.261,3323.3146,4943.976,5129.121,10255.52,4324.67,6086.896,32242.7514,13726.2184,0,0,0,0.361109,4792.653,843.334,0,0,1349.425,90543.50151
3050.275,8363.4769,16013.2666,11360.75,20034.67,7061.51,40576.74,45472.52,8290.01,0,0,0,0,0,0,0,0,0,160223.2185
55.1016,3552.862,4964.8,348.4241,11445.7,2250.975,8411.042,37956.964,7883.381,0,0,0,0,0,0,0,0,0,76869.2497
8682.522423,10839.23089,393.2058,3209.781,11992.65,5771.86,5489.15,12453.5793,10805.634,0,73.415,58.3386,0,3240.599,5930.3514,292.2641,0,405.942,79638.52351
218.2595,578.542,494.585,292.7115,272.5347,1114.373,0,0,0,0,0,0,0,0,0,0,0,0,2971.0057
1978.608,6292.2531,1831.497,3706.58,14509.48,9340.4,0,852.143,740.676,0,0,0,0,0,0,0,0,0,39251.6371
6430.2917,10321.8,2372.911,8251.13,15350.47,9131.08,4733.283,9298.25,7750.89,0,0,0,0,0,0,0,0,0,73640.1057
